id,receipt_number,store_id,customer_id,cashier_id,occurred_at,payment_method,item_count,subtotal,vat_amount,total
789,0006-00002857,6,,62,2023-08-23T12:49:00,cash,1,4.93,1.04,5.97
790,0006-00000013,6,,23,2023-08-23T12:54:00,card,1,4.93,1.04,5.97
791,0003-00001361,3,,9,2023-08-23T17:15:00,card,3,33.50,5.19,38.69
792,0002-00000556,2,,85,2023-08-24T14:21:00,card,2,12.05,1.92,13.97
793,0005-00001200,5,,8,2023-08-24T16:49:00,mobile,1,4.30,0.90,5.20
794,0001-00001238,1,,72,2023-08-24T17:39:00,card,6,42.32,7.33,49.65
795,0004-00002915,4,,91,2023-08-24T18:30:00,card,1,3.30,0.69,3.99
796,0006-00000003,6,579,76,2023-08-25T11:49:00,card,1,6.82,1.43,8.25
797,0002-00001902,2,849,85,2023-08-25T21:02:00,mobile,7,43.78,7.71,51.49
798,0008-00002734,8,,28,2023-08-26T15:11:00,cash,1,2.47,0.52,2.99
799,0001-00001015,1,,72,2023-08-26T16:07:00,card,1,5.43,0.54,5.97
800,0005-00002976,5,,16,2023-08-26T16:40:00,cash,2,9.25,1.74,10.99
801,0001-00000498,1,868,72,2023-08-26T17:12:00,card,12,75.65,6.67,82.32
802,0001-00000772,1,,72,2023-08-26T17:33:00,card,13,115.48,19.45,134.93
803,0001-00000298,1,508,72,2023-08-26T19:38:00,card,3,3.88,0.79,4.67
804,0001-00000287,1,,72,2023-08-26T19:43:00,card,1,4.57,0.18,4.75
805,0008-00002037,8,,28,2023-08-29T09:25:00,cash,1,3.30,0.69,3.99
806,0003-00001926,3,109,9,2023-08-29T13:46:00,cash,6,32.25,6.17,38.42
807,0003-00001550,3,337,9,2023-08-29T21:58:00,card,2,19.08,1.11,20.19
808,0002-00002172,2,239,85,2023-08-30T09:38:00,cash,7,27.64,4.95,32.59
809,0003-00002167,3,,9,2023-08-30T11:51:00,card,3,21.15,3.75,24.90
810,0001-00002747,1,,72,2023-08-30T17:26:00,cash,1,17.77,3.73,21.50
811,0003-00001773,3,865,9,2023-08-30T18:04:00,card,1,1.81,0.18,1.99
812,0007-00000153,7,817,109,2023-08-31T12:41:00,card,3,11.41,2.07,13.48
813,0008-00000993,8,483,94,2023-08-31T14:29:00,card,1,3.26,0.69,3.95
814,0005-00001859,5,,99,2023-08-31T18:17:00,card,2,4.36,0.62,4.98
815,0008-00002399,8,,47,2023-09-01T09:32:00,cash,9,51.53,8.24,59.77
816,0001-00000089,1,,72,2023-09-01T11:07:00,card,7,32.94,5.46,38.40
817,0008-00002543,8,,84,2023-09-01T17:09:00,mobile,4,29.75,1.96,31.71
818,0008-00000593,8,,61,2023-09-01T17:19:00,card,2,11.21,2.03,13.24
819,0005-00001403,5,,31,2023-09-01T18:26:00,card,1,3.30,0.69,3.99
820,0004-00002186,4,,69,2023-09-01T19:11:00,card,1,4.33,0.17,4.50
821,0001-00001088,1,801,72,2023-09-01T19:30:00,cash,1,2.69,0.56,3.25
822,0004-00001661,4,,69,2023-09-01T20:51:00,cash,4,32.40,5.41,37.81
823,0008-00001352,8,306,21,2023-09-01T21:47:00,cash,3,7.04,0.93,7.97
824,0007-00000829,7,648,109,2023-09-02T09:00:00,mobile,1,1.56,0.06,1.62
825,0006-00000152,6,,95,2023-09-02T11:06:00,cash,12,71.77,11.47,83.24
826,0008-00002623,8,,28,2023-09-02T15:11:00,cash,1,19.83,4.16,23.99
827,0003-00002019,3,,9,2023-09-02T19:47:00,cash,1,16.54,0.66,17.20
828,0006-00002951,6,,62,2023-09-02T20:55:00,cash,1,3.26,0.69,3.95
829,0006-00001273,6,,62,2023-09-02T21:18:00,card,1,1.91,0.08,1.99
830,0002-00001857,2,560,77,2023-09-02T21:43:00,mobile,1,2.47,0.52,2.99
831,0007-00001802,7,,73,2023-09-03T09:39:00,card,2,9.30,1.65,10.95
832,0004-00001753,4,,91,2023-09-03T12:39:00,card,2,24.02,1.03,25.05
833,0005-00002332,5,,89,2023-09-03T20:10:00,cash,3,11.77,1.30,13.07
834,0001-00000675,1,382,72,2023-09-03T20:17:00,cash,3,10.62,1.35,11.97
835,0001-00001814,1,,72,2023-09-04T10:15:00,card,3,14.95,1.89,16.84
836,0005-00002718,5,,99,2023-09-05T12:30:00,mobile,2,7.22,1.27,8.49
837,0003-00001260,3,,9,2023-09-05T12:48:00,cash,3,19.65,3.34,22.99
838,0005-00001028,5,369,16,2023-09-05T15:36:00,card,2,6.31,0.67,6.98
839,0002-00002398,2,,42,2023-09-05T16:24:00,mobile,1,1.39,0.06,1.45
840,0004-00002012,4,,69,2023-09-05T19:22:00,card,4,29.89,1.47,31.36
841,0006-00001866,6,,71,2023-09-07T12:00:00,card,2,21.87,4.59,26.46
842,0006-00002940,6,,62,2023-09-07T13:59:00,mobile,1,4.13,0.87,5.00
843,0001-00001812,1,,72,2023-09-07T18:00:00,cash,4,31.59,3.84,35.43
844,0004-00002083,4,,69,2023-09-07T18:07:00,cash,5,36.15,5.39,41.54
845,0006-00000820,6,,23,2023-09-07T18:27:00,voucher,2,8.44,1.45,9.89
846,0008-00001777,8,,61,2023-09-08T09:44:00,card,2,5.19,0.29,5.48
847,0008-00000641,8,823,21,2023-09-08T09:56:00,cash,1,5.36,0.54,5.90
848,0003-00002494,3,,9,2023-09-08T11:29:00,card,4,8.55,1.63,10.18
849,0007-00001558,7,317,73,2023-09-08T13:37:00,cash,2,9.08,0.91,9.99
850,0003-00000426,3,,9,2023-09-08T18:04:00,card,1,6.19,1.30,7.49
851,0006-00002758,6,252,23,2023-09-08T18:19:00,card,4,21.60,3.34,24.94
852,0005-00002542,5,,89,2023-09-09T12:17:00,voucher,1,1.81,0.18,1.99
853,0008-00000765,8,,47,2023-09-09T12:18:00,card,1,4.13,0.87,5.00
854,0005-00001108,5,,16,2023-09-09T12:57:00,card,1,2.07,0.43,2.50
855,0001-00002749,1,124,72,2023-09-09T20:33:00,cash,4,19.96,1.45,21.41
856,0008-00000856,8,,94,2023-09-12T20:01:00,card,4,37.95,7.98,45.93
857,0001-00002425,1,539,72,2023-09-13T16:10:00,card,7,56.18,10.50,66.68
858,0004-00002240,4,,69,2023-09-13T19:52:00,cash,1,3.72,0.78,4.50
859,0002-00002954,2,,98,2023-09-14T14:49:00,cash,3,27.64,5.48,33.12
860,0004-00000185,4,,69,2023-09-14T19:16:00,card,2,7.56,1.18,8.74
861,0002-00002502,2,,85,2023-09-14T20:16:00,card,13,65.02,9.82,74.84
862,0002-00000105,2,,98,2023-09-15T13:13:00,card,11,71.31,8.12,79.43
863,0006-00001340,6,,62,2023-09-15T13:42:00,cash,1,2.68,0.27,2.95
864,0008-00000988,8,,94,2023-09-15T13:52:00,cash,4,15.30,1.61,16.91
865,0005-00002498,5,,31,2023-09-15T14:00:00,cash,1,3.62,0.36,3.98
866,0001-00001907,1,,72,2023-09-15T18:28:00,card,1,4.09,0.86,4.95
867,0006-00000541,6,177,23,2023-09-15T18:58:00,card,1,9.05,1.90,10.95
868,0006-00000970,6,,62,2023-09-16T12:30:00,mobile,4,29.01,3.81,32.82
869,0003-00001235,3,,9,2023-09-16T14:55:00,card,3,19.05,2.40,21.45
870,0002-00001117,2,442,42,2023-09-16T17:54:00,card,1,2.87,0.12,2.99
871,0007-00001799,7,,109,2023-09-16T19:08:00,card,1,3.41,0.34,3.75
872,0008-00000118,8,370,21,2023-09-16T20:04:00,cash,4,14.47,1.44,15.91
873,0002-00000756,2,692,5,2023-09-17T10:25:00,card,4,36.65,3.23,39.88
874,0005-00002135,5,,99,2023-09-17T12:54:00,mobile,1,2.26,0.23,2.49
875,0003-00000485,3,503,9,2023-09-18T09:46:00,cash,3,18.00,1.80,19.80
876,0001-00000520,1,,72,2023-09-18T15:57:00,cash,1,6.57,1.38,7.95
877,0008-00002497,8,,94,2023-09-18T21:20:00,cash,1,18.15,1.81,19.96
878,0008-00001936,8,,94,2023-09-19T12:19:00,card,1,1.77,0.18,1.95
879,0003-00001463,3,,9,2023-09-19T12:48:00,card,1,3.85,0.15,4.00
880,0007-00000480,7,,55,2023-09-19T16:36:00,card,1,2.46,0.52,2.98
881,0005-00001395,5,,8,2023-09-19T16:46:00,card,8,81.15,11.43,92.58
882,0004-00002461,4,,69,2023-09-20T14:57:00,card,3,11.93,2.50,14.43
883,0005-00000374,5,481,99,2023-09-21T11:54:00,mobile,1,4.09,0.41,4.50
884,0001-00002694,1,,72,2023-09-21T21:53:00,card,1,2.26,0.23,2.49
885,0002-00000839,2,,85,2023-09-23T12:01:00,mobile,1,1.64,0.35,1.99
886,0006-00002193,6,,95,2023-09-23T12:51:00,card,4,15.80,2.42,18.22
887,0005-00002553,5,586,31,2023-09-23T12:58:00,cash,4,21.22,2.66,23.88
888,0006-00001140,6,,62,2023-09-23T15:25:00,card,1,3.30,0.69,3.99
889,0003-00000685,3,,9,2023-09-23T17:34:00,mobile,1,3.62,0.36,3.98
890,0005-00001288,5,,16,2023-09-23T17:39:00,cash,1,18.17,3.81,21.98
891,0008-00000599,8,,94,2023-09-23T18:08:00,card,5,19.65,2.79,22.44
892,0005-00000808,5,,8,2023-09-23T21:00:00,cash,1,33.02,6.94,39.96
893,0001-00000265,1,707,72,2023-09-25T13:43:00,mobile,1,7.60,0.30,7.90
894,0002-00000985,2,,98,2023-09-25T20:10:00,mobile,2,10.29,1.71,12.00
895,0001-00001954,1,328,72,2023-09-27T14:40:00,cash,6,40.66,8.04,48.70
896,0005-00001339,5,,89,2023-09-27T21:26:00,cash,1,1.42,0.06,1.48
897,0003-00002370,3,,9,2023-09-28T15:03:00,mobile,3,24.26,4.89,29.15
898,0004-00002505,4,,69,2023-09-28T17:00:00,card,1,2.47,0.52,2.99
899,0003-00002404,3,,9,2023-09-28T18:10:00,card,3,16.15,3.24,19.39
900,0004-00001141,4,,69,2023-09-29T12:03:00,cash,4,25.98,1.44,27.42
901,0005-00000612,5,336,31,2023-09-29T17:11:00,cash,2,2.71,0.27,2.98
902,0007-00000023,7,,109,2023-09-29T17:23:00,card,1,53.31,11.19,64.50
903,0001-00002289,1,83,72,2023-09-29T18:09:00,cash,5,19.79,2.46,22.25
904,0007-00000682,7,,55,2023-09-30T12:20:00,cash,2,30.70,1.50,32.20
905,0001-00001453,1,437,72,2023-09-30T13:29:00,card,3,27.97,1.76,29.73
906,0002-00001896,2,,42,2023-09-30T13:44:00,card,1,2.47,0.52,2.99
907,0006-00002887,6,683,95,2023-09-30T14:29:00,cash,1,4.92,1.03,5.95
908,0005-00001388,5,,31,2023-09-30T14:53:00,card,1,2.88,0.61,3.49
909,0001-00001032,1,,72,2023-09-30T21:59:00,card,2,7.42,1.56,8.98
910,0003-00000343,3,397,9,2023-10-01T16:16:00,card,1,10.89,1.09,11.98
911,0006-00001944,6,726,23,2023-10-02T11:31:00,mobile,1,2.47,0.52,2.99
912,0006-00000221,6,299,62,2023-10-02T14:39:00,cash,9,94.44,6.70,101.14
913,0003-00002142,3,42,9,2023-10-02T15:24:00,cash,2,2.77,0.11,2.88
914,0005-00001026,5,822,89,2023-10-02T18:28:00,card,5,73.86,12.52,86.38
915,0001-00000837,1,,72,2023-10-02T20:02:00,mobile,2,21.58,4.15,25.73
916,0006-00001855,6,,95,2023-10-03T10:05:00,card,1,3.62,0.36,3.98
917,0004-00000805,4,64,91,2023-10-03T10:21:00,card,5,36.60,4.83,41.43
918,0002-00002937,2,,42,2023-10-04T11:42:00,card,1,14.37,0.58,14.95
919,0003-00002658,3,,9,2023-10-04T15:05:00,card,2,8.17,1.57,9.74
920,0008-00001940,8,595,47,2023-10-04T18:24:00,card,2,60.74,12.75,73.49
921,0007-00000521,7,508,18,2023-10-04T19:11:00,cash,2,4.02,0.40,4.42
922,0005-00002378,5,,8,2023-10-05T14:01:00,cash,10,86.26,14.24,100.50
923,0002-00002507,2,,98,2023-10-05T17:42:00,mobile,6,30.02,5.19,35.21
924,0006-00001230,6,,23,2023-10-05T20:45:00,card,2,10.53,1.42,11.95
925,0003-00002519,3,,9,2023-10-06T11:18:00,cash,7,37.86,6.87,44.73
926,0005-00002575,5,,8,2023-10-06T13:58:00,mobile,3,16.06,1.61,17.67
927,0001-00002805,1,,72,2023-10-06T14:14:00,card,1,1.23,0.26,1.49
928,0003-00000497,3,,9,2023-10-06T16:40:00,cash,3,20.34,4.16,24.50
929,0002-00000078,2,,98,2023-10-06T18:47:00,card,1,2.45,0.52,2.97
930,0008-00000036,8,464,84,2023-10-06T19:08:00,card,4,31.19,2.44,33.63
931,0004-00002569,4,634,69,2023-10-07T12:21:00,mobile,1,4.09,0.86,4.95
932,0007-00002368,7,,73,2023-10-07T15:21:00,card,2,15.69,3.29,18.98
933,0006-00002278,6,,62,2023-10-07T15:30:00,cash,1,7.40,1.55,8.95
934,0001-00002143,1,,72,2023-10-07T16:02:00,card,5,38.27,6.51,44.78
935,0006-00002423,6,,76,2023-10-07T18:58:00,card,1,12.07,0.48,12.55
936,0007-00002640,7,,30,2023-10-07T19:22:00,card,1,6.20,1.30,7.50
937,0008-00001643,8,,29,2023-10-07T19:56:00,card,3,9.86,2.07,11.93
938,0004-00002790,4,,69,2023-10-07T19:58:00,card,4,22.05,4.31,26.36
939,0002-00002660,2,,5,2023-10-07T20:01:00,card,1,10.12,2.13,12.25
940,0006-00000014,6,,62,2023-10-07T20:29:00,card,4,44.09,5.94,50.03
941,0004-00001412,4,655,91,2023-10-09T12:18:00,cash,2,4.47,0.78,5.25
942,0001-00002963,1,,72,2023-10-09T13:44:00,card,3,27.18,5.70,32.88
943,0004-00000315,4,,91,2023-10-09T18:15:00,mobile,4,22.98,4.83,27.81
944,0001-00002392,1,,72,2023-10-09T21:25:00,mobile,1,7.43,1.56,8.99
945,0004-00001468,4,,69,2023-10-10T13:19:00,card,13,124.13,18.31,142.44
946,0008-00001154,8,888,47,2023-10-10T18:31:00,card,1,5.50,1.16,6.66
947,0002-00001736,2,,98,2023-10-11T09:38:00,card,1,2.68,0.27,2.95
948,0001-00001208,1,,72,2023-10-11T13:37:00,card,1,1.68,0.07,1.75
949,0006-00000237,6,,62,2023-10-11T18:00:00,cash,6,108.16,7.57,115.73
950,0005-00000696,5,,8,2023-10-13T11:24:00,card,3,26.76,2.93,29.69
951,0006-00002518,6,,23,2023-10-13T12:43:00,card,1,4.12,0.86,4.98
952,0007-00002603,7,,18,2023-10-13T14:50:00,card,3,9.24,1.76,11.00
953,0007-00002608,7,,73,2023-10-13T14:54:00,card,1,3.31,0.69,4.00
954,0002-00001212,2,278,77,2023-10-14T10:42:00,card,2,18.54,2.43,20.97
955,0006-00000071,6,,62,2023-10-14T10:56:00,card,4,40.19,4.83,45.02
956,0007-00001306,7,,10,2023-10-14T11:51:00,cash,4,57.09,4.52,61.61
957,0002-00001258,2,278,77,2023-10-14T14:23:00,cash,1,3.84,0.15,3.99
958,0003-00001247,3,,9,2023-10-14T17:26:00,card,5,24.81,3.83,28.64
959,0007-00002277,7,,73,2023-10-14T20:06:00,card,5,19.48,2.04,21.52
960,0001-00002304,1,,72,2023-10-15T19:10:00,voucher,2,21.44,4.50,25.94
961,0004-00002212,4,,69,2023-10-16T18:31:00,cash,1,2.68,0.11,2.79
962,0005-00000468,5,172,31,2023-10-17T12:21:00,card,8,40.66,4.72,45.38
963,0008-00002559,8,,94,2023-10-17T14:46:00,cash,2,5.36,1.12,6.48
964,0007-00000614,7,288,18,2023-10-17T15:06:00,cash,2,15.00,1.50,16.50
965,0003-00002388,3,,9,2023-10-17T18:09:00,cash,2,6.67,0.27,6.94
966,0004-00002838,4,,69,2023-10-18T09:57:00,card,8,27.55,2.76,30.31
967,0004-00001895,4,,91,2023-10-18T13:41:00,card,1,4.95,1.04,5.99
968,0001-00002099,1,,72,2023-10-19T12:25:00,card,1,4.80,0.19,4.99
969,0005-00000902,5,328,31,2023-10-19T20:02:00,cash,1,2.47,0.52,2.99
970,0008-00001626,8,,21,2023-10-20T10:26:00,card,3,25.10,3.69,28.79
971,0003-00001374,3,,9,2023-10-20T13:46:00,card,1,8.47,1.78,10.25
972,0005-00000821,5,,89,2023-10-20T17:46:00,card,1,7.43,1.56,8.99
973,0007-00002046,7,,10,2023-10-20T18:34:00,cash,3,13.61,2.86,16.47
974,0008-00000425,8,531,28,2023-10-20T18:54:00,card,2,30.15,2.08,32.23
975,0007-00001819,7,312,73,2023-10-20T19:48:00,card,4,33.69,6.11,39.80
976,0005-00002025,5,,89,2023-10-20T20:18:00,card,6,18.03,3.60,21.63
977,0003-00002259,3,,9,2023-10-21T13:02:00,cash,1,3.72,0.78,4.50
978,0007-00001282,7,,73,2023-10-21T17:31:00,cash,3,6.86,1.12,7.98
979,0002-00001084,2,,42,2023-10-21T17:47:00,card,4,28.75,5.59,34.34
980,0003-00000070,3,252,9,2023-10-22T12:13:00,card,1,5.44,0.54,5.98
981,0001-00002551,1,,72,2023-10-22T15:35:00,card,1,71.07,14.93,86.00
982,0003-00002618,3,551,9,2023-10-23T12:25:00,card,4,18.74,1.18,19.92
983,0005-00002317,5,142,31,2023-10-23T12:35:00,card,2,42.29,2.02,44.31
984,0002-00001973,2,437,98,2023-10-23T13:09:00,card,3,16.26,2.13,18.39
985,0005-00000759,5,,99,2023-10-23T16:09:00,card,3,33.33,3.00,36.33
986,0004-00000815,4,,91,2023-10-23T16:43:00,card,5,29.70,4.55,34.25
987,0001-00001124,1,185,72,2023-10-24T16:25:00,mobile,2,13.75,0.69,14.44
988,0002-00001989,2,504,98,2023-10-24T20:06:00,card,2,15.68,3.29,18.97
989,0005-00002306,5,,16,2023-10-25T18:45:00,card,6,14.11,2.41,16.52
990,0008-00000488,8,655,103,2023-10-26T09:00:00,card,1,3.59,0.75,4.34
991,0006-00002532,6,,95,2023-10-26T12:39:00,cash,2,13.13,0.52,13.65
992,0008-00001616,8,,103,2023-10-26T14:11:00,card,5,45.10,9.08,54.18
993,0006-00002798,6,,71,2023-10-26T16:30:00,cash,2,6.86,1.12,7.98
994,0003-00001060,3,,9,2023-10-26T18:32:00,cash,1,3.51,0.74,4.25
995,0001-00002729,1,,72,2023-10-27T14:46:00,card,4,23.01,3.21,26.22
996,0003-00002642,3,,9,2023-10-27T19:22:00,card,3,14.64,2.11,16.75
997,0003-00000867,3,,9,2023-10-27T20:36:00,cash,3,7.13,1.02,8.15
998,0002-00002130,2,,98,2023-10-28T11:02:00,card,2,24.35,3.22,27.57
999,0006-00001752,6,832,23,2023-10-28T13:05:00,cash,5,20.10,1.85,21.95
1000,0007-00002828,7,,10,2023-10-28T14:55:00,cash,3,8.99,1.80,10.79
1001,0004-00002711,4,,69,2023-10-28T16:45:00,cash,2,8.35,1.56,9.91
1002,0001-00000140,1,,72,2023-10-29T11:54:00,cash,3,35.55,2.39,37.94
1003,0005-00002458,5,,8,2023-10-30T19:32:00,card,1,8.18,1.72,9.90
1004,0007-00001207,7,,30,2023-10-31T09:33:00,mobile,1,4.13,0.87,5.00
1005,0006-00000538,6,861,95,2023-10-31T09:43:00,card,5,15.67,2.56,18.23
1006,0008-00000623,8,133,47,2023-10-31T18:14:00,cash,1,11.78,2.47,14.25
1007,0004-00002638,4,803,91,2023-10-31T19:42:00,card,1,5.45,0.54,5.99
1008,0003-00000350,3,,9,2023-11-01T19:59:00,card,6,43.65,7.06,50.71
1009,0001-00002063,1,,72,2023-11-02T15:22:00,card,2,32.49,3.25,35.74
1010,0006-00002416,6,,23,2023-11-02T17:47:00,cash,1,3.88,0.39,4.27
1011,0006-00001979,6,381,71,2023-11-03T11:28:00,mobile,3,66.49,12.91,79.40
1012,0002-00001252,2,,98,2023-11-03T13:00:00,card,1,13.45,0.54,13.99
1013,0005-00001396,5,,99,2023-11-03T18:35:00,cash,5,66.37,3.46,69.83
1014,0007-00001678,7,,10,2023-11-03T20:09:00,mobile,3,12.99,1.95,14.94
1015,0001-00001303,1,622,72,2023-11-04T10:17:00,card,3,23.02,3.85,26.87
1016,0008-00000846,8,807,29,2023-11-04T10:42:00,card,5,45.58,2.62,48.20
1017,0008-00000524,8,,47,2023-11-04T13:20:00,card,1,44.60,9.36,53.96
1018,0003-00000943,3,,9,2023-11-04T17:00:00,card,1,2.44,0.51,2.95
1019,0006-00002956,6,343,76,2023-11-04T17:18:00,cash,2,7.38,0.56,7.94
1020,0003-00000960,3,,9,2023-11-04T19:45:00,card,4,31.61,4.84,36.45
1021,0008-00000393,8,,103,2023-11-05T10:20:00,card,3,8.46,0.51,8.97
1022,0004-00000226,4,811,91,2023-11-06T10:20:00,mobile,4,103.81,6.96,110.77
1023,0007-00002302,7,629,109,2023-11-06T13:23:00,card,4,25.35,5.12,30.47
1024,0008-00002030,8,,29,2023-11-06T16:12:00,card,4,16.40,2.77,19.17
1025,0003-00000177,3,325,9,2023-11-06T17:22:00,card,2,10.25,2.15,12.40
1026,0004-00001348,4,263,91,2023-11-06T20:15:00,cash,2,11.10,1.84,12.94
1027,0007-00000099,7,394,18,2023-11-07T11:04:00,card,10,41.12,6.94,48.06
1028,0002-00000734,2,,98,2023-11-07T11:32:00,card,2,7.14,0.84,7.98
1029,0002-00000494,2,244,98,2023-11-07T13:04:00,cash,1,10.74,2.25,12.99
1030,0003-00000316,3,193,9,2023-11-07T16:49:00,cash,2,9.38,1.08,10.46
1031,0004-00000137,4,,91,2023-11-07T18:06:00,voucher,3,19.90,3.57,23.47
1032,0003-00002239,3,,9,2023-11-07T18:29:00,mobile,1,3.55,0.35,3.90
1033,0004-00000990,4,846,69,2023-11-08T16:40:00,cash,17,148.04,20.36,168.40
1034,0004-00002516,4,,91,2023-11-09T18:05:00,cash,7,49.16,7.91,57.07
1035,0004-00000667,4,736,91,2023-11-09T18:57:00,cash,2,9.19,0.75,9.94
1036,0002-00002927,2,489,5,2023-11-10T09:34:00,cash,2,17.15,3.60,20.75
1037,0005-00002274,5,17,99,2023-11-10T09:53:00,cash,4,15.36,3.04,18.40
1038,0008-00001515,8,565,65,2023-11-10T13:42:00,cash,8,55.54,4.88,60.42
1039,0003-00001241,3,8,9,2023-11-10T14:38:00,card,1,6.14,0.61,6.75
1040,0003-00002050,3,,9,2023-11-10T16:00:00,cash,2,6.14,0.80,6.94
1041,0005-00000849,5,,31,2023-11-10T16:12:00,card,1,8.18,1.72,9.90
1042,0005-00000158,5,371,31,2023-11-10T17:54:00,card,1,8.47,1.78,10.25
1043,0007-00002781,7,,73,2023-11-10T18:56:00,cash,2,7.27,0.71,7.98
1044,0008-00000721,8,591,84,2023-11-11T09:29:00,cash,3,31.90,2.59,34.49
1045,0002-00002216,2,,85,2023-11-11T10:02:00,voucher,1,2.88,0.61,3.49
1046,0004-00002002,4,619,91,2023-11-11T13:01:00,card,1,1.03,0.10,1.13
1047,0004-00001831,4,,69,2023-11-11T19:12:00,card,7,45.92,8.71,54.63
1048,0002-00002905,2,,98,2023-11-12T18:23:00,mobile,1,7.88,0.32,8.20
1049,0008-00000256,8,,103,2023-11-12T18:56:00,card,1,2.47,0.52,2.99
1050,0004-00001615,4,,69,2023-11-13T17:11:00,card,1,3.31,0.69,4.00
1051,0005-00002390,5,,89,2023-11-13T19:26:00,card,7,77.28,13.57,90.85
1052,0006-00001890,6,154,62,2023-11-13T19:45:00,cash,4,22.09,4.34,26.43
1053,0003-00002065,3,,9,2023-11-13T19:51:00,cash,3,19.62,1.55,21.17
1054,0008-00000284,8,663,21,2023-11-13T21:00:00,card,1,3.40,0.72,4.12
1055,0001-00002486,1,,72,2023-11-14T14:25:00,cash,4,9.62,1.62,11.24
1056,0002-00002735,2,,42,2023-11-15T14:05:00,cash,6,28.59,3.74,32.33
1057,0004-00002908,4,,91,2023-11-15T18:50:00,card,10,70.34,10.38,80.72
1058,0007-00000543,7,,33,2023-11-16T10:43:00,card,1,2.72,0.27,2.99
1059,0003-00000838,3,,9,2023-11-16T13:27:00,cash,2,12.65,2.65,15.30
1060,0001-00000423,1,,72,2023-11-16T14:58:00,card,4,71.54,5.52,77.06
1061,0002-00002889,2,681,85,2023-11-17T09:19:00,card,1,2.47,0.52,2.99
1062,0005-00001458,5,768,99,2023-11-17T13:01:00,voucher,1,2.47,0.52,2.99
1063,0004-00002228,4,85,69,2023-11-17T13:20:00,mobile,4,15.42,1.03,16.45
1064,0003-00001413,3,733,9,2023-11-17T15:52:00,card,2,6.75,1.22,7.97
1065,0004-00002255,4,,91,2023-11-17T18:49:00,cash,3,14.71,2.78,17.49
1066,0006-00001392,6,,95,2023-11-17T20:04:00,card,1,3.30,0.69,3.99
1067,0003-00000405,3,,9,2023-11-17T20:30:00,card,1,1.91,0.08,1.99
1068,0004-00001419,4,,69,2023-11-17T20:33:00,voucher,1,3.71,0.78,4.49
1069,0008-00002150,8,,84,2023-11-17T20:46:00,card,3,11.07,2.13,13.20
1070,0006-00000224,6,878,62,2023-11-18T09:30:00,card,6,18.80,2.25,21.05
1071,0004-00000479,4,,69,2023-11-18T11:22:00,card,1,2.47,0.52,2.99
1072,0005-00001167,5,250,99,2023-11-18T13:53:00,cash,2,6.71,0.27,6.98
1073,0001-00000348,1,516,72,2023-11-19T09:10:00,card,1,13.14,2.76,15.90
1074,0006-00001827,6,,76,2023-11-19T17:29:00,card,1,4.77,0.48,5.25
1075,0002-00002847,2,740,98,2023-11-20T20:37:00,card,8,39.55,6.29,45.84
1076,0004-00001171,4,90,69,2023-11-20T20:44:00,mobile,1,2.65,0.26,2.91
1077,0007-00001768,7,851,10,2023-11-21T10:55:00,card,5,31.37,6.39,37.76
1078,0004-00002787,4,,91,2023-11-21T11:12:00,card,2,8.34,1.65,9.99
1079,0003-00001960,3,,9,2023-11-22T10:45:00,card,2,40.30,3.01,43.31
1080,0006-00002864,6,,62,2023-11-22T12:50:00,card,1,2.05,0.43,2.48
1081,0006-00000059,6,680,23,2023-11-22T13:59:00,cash,1,5.44,0.54,5.98
1082,0007-00001248,7,,73,2023-11-24T11:39:00,card,1,1.65,0.35,2.00
1083,0002-00001925,2,,98,2023-11-24T19:13:00,mobile,3,8.86,1.37,10.23
1084,0005-00002395,5,,16,2023-11-25T09:23:00,card,5,68.57,6.00,74.57
1085,0003-00002163,3,238,9,2023-11-25T14:24:00,cash,2,8.97,1.89,10.86
1086,0004-00000592,4,483,69,2023-11-25T19:19:00,card,1,2.07,0.43,2.50
1087,0007-00002806,7,824,30,2023-11-26T10:59:00,card,14,80.14,12.99,93.13
1088,0002-00000901,2,,85,2023-11-27T09:36:00,card,1,4.79,1.00,5.79
1089,0004-00002359,4,178,91,2023-11-27T16:07:00,mobile,4,14.64,1.19,15.83
1090,0003-00002351,3,,9,2023-11-27T20:12:00,mobile,1,2.87,0.12,2.99
1091,0008-00001700,8,,94,2023-11-28T13:14:00,cash,1,7.02,1.47,8.49
1092,0006-00001531,6,821,76,2023-11-28T13:19:00,card,8,34.30,6.90,41.20
1093,0002-00002923,2,,42,2023-11-28T16:49:00,card,3,18.72,3.93,22.65
1094,0005-00000135,5,445,31,2023-11-28T18:08:00,card,2,6.28,1.32,7.60
1095,0004-00002380,4,,69,2023-11-29T17:20:00,card,1,0.98,0.10,1.08
1096,0003-00000460,3,683,9,2023-11-30T14:43:00,cash,4,36.58,7.29,43.87
1097,0004-00000445,4,,91,2023-11-30T17:29:00,cash,7,23.94,3.29,27.23
1098,0005-00001976,5,,31,2023-12-01T15:42:00,cash,1,32.60,1.30,33.90
1099,0004-00000888,4,,91,2023-12-01T15:48:00,card,1,4.94,1.04,5.98
1100,0002-00002962,2,457,77,2023-12-01T18:55:00,mobile,3,33.64,5.88,39.52
1101,0008-00000378,8,,61,2023-12-01T19:19:00,card,2,4.11,0.87,4.98
1102,0007-00000609,7,,10,2023-12-02T11:34:00,card,1,19.42,4.08,23.50
1103,0007-00002287,7,,109,2023-12-02T12:11:00,card,6,28.13,4.27,32.40
