id,base_currency,quote_currency,rate_date,rate
672,EUR,GBP,2024-10-25,0.87
673,EUR,JPY,2024-10-25,157.49
674,EUR,MXN,2024-10-25,17.98
675,EUR,USD,2024-10-25,1.08
676,EUR,CHF,2024-10-28,0.94
677,EUR,GBP,2024-10-28,0.87
678,EUR,JPY,2024-10-28,157.31
679,EUR,MXN,2024-10-28,18.03
680,EUR,USD,2024-10-28,1.07
681,EUR,CHF,2024-10-29,0.94
682,EUR,GBP,2024-10-29,0.87
683,EUR,JPY,2024-10-29,156.60
684,EUR,MXN,2024-10-29,18.02
685,EUR,USD,2024-10-29,1.07
686,EUR,CHF,2024-10-30,0.94
687,EUR,GBP,2024-10-30,0.87
688,EUR,JPY,2024-10-30,156.47
689,EUR,MXN,2024-10-30,18.01
690,EUR,USD,2024-10-30,1.07
691,EUR,CHF,2024-10-31,0.94
692,EUR,GBP,2024-10-31,0.86
693,EUR,JPY,2024-10-31,158.70
694,EUR,MXN,2024-10-31,17.99
695,EUR,USD,2024-10-31,1.07
696,EUR,CHF,2024-11-01,0.94
697,EUR,GBP,2024-11-01,0.86
698,EUR,JPY,2024-11-01,158.01
699,EUR,MXN,2024-11-01,17.95
700,EUR,USD,2024-11-01,1.08
701,EUR,CHF,2024-11-04,0.94
702,EUR,GBP,2024-11-04,0.87
703,EUR,JPY,2024-11-04,158.84
704,EUR,MXN,2024-11-04,17.91
705,EUR,USD,2024-11-04,1.09
706,EUR,CHF,2024-11-05,0.93
707,EUR,GBP,2024-11-05,0.87
708,EUR,JPY,2024-11-05,158.97
709,EUR,MXN,2024-11-05,17.78
710,EUR,USD,2024-11-05,1.08
711,EUR,CHF,2024-11-06,0.93
712,EUR,GBP,2024-11-06,0.87
713,EUR,JPY,2024-11-06,159.23
714,EUR,MXN,2024-11-06,17.81
715,EUR,USD,2024-11-06,1.08
716,EUR,CHF,2024-11-07,0.93
717,EUR,GBP,2024-11-07,0.88
718,EUR,JPY,2024-11-07,159.25
719,EUR,MXN,2024-11-07,17.82
720,EUR,USD,2024-11-07,1.08
721,EUR,CHF,2024-11-08,0.92
722,EUR,GBP,2024-11-08,0.87
723,EUR,JPY,2024-11-08,158.98
724,EUR,MXN,2024-11-08,17.84
725,EUR,USD,2024-11-08,1.08
726,EUR,CHF,2024-11-11,0.92
727,EUR,GBP,2024-11-11,0.88
728,EUR,JPY,2024-11-11,158.63
729,EUR,MXN,2024-11-11,17.84
730,EUR,USD,2024-11-11,1.08
731,EUR,CHF,2024-11-12,0.93
732,EUR,GBP,2024-11-12,0.88
733,EUR,JPY,2024-11-12,158.69
734,EUR,MXN,2024-11-12,17.78
735,EUR,USD,2024-11-12,1.08
736,EUR,CHF,2024-11-13,0.93
737,EUR,GBP,2024-11-13,0.88
738,EUR,JPY,2024-11-13,158.59
739,EUR,MXN,2024-11-13,17.74
740,EUR,USD,2024-11-13,1.08
741,EUR,CHF,2024-11-14,0.94
742,EUR,GBP,2024-11-14,0.88
743,EUR,JPY,2024-11-14,158.32
744,EUR,MXN,2024-11-14,17.75
745,EUR,USD,2024-11-14,1.08
746,EUR,CHF,2024-11-15,0.94
747,EUR,GBP,2024-11-15,0.88
748,EUR,JPY,2024-11-15,158.56
749,EUR,MXN,2024-11-15,17.72
750,EUR,USD,2024-11-15,1.08
751,EUR,CHF,2024-11-18,0.95
752,EUR,GBP,2024-11-18,0.88
753,EUR,JPY,2024-11-18,158.41
754,EUR,MXN,2024-11-18,17.79
755,EUR,USD,2024-11-18,1.08
756,EUR,CHF,2024-11-19,0.94
757,EUR,GBP,2024-11-19,0.88
758,EUR,JPY,2024-11-19,159.42
759,EUR,MXN,2024-11-19,17.73
760,EUR,USD,2024-11-19,1.09
761,EUR,CHF,2024-11-20,0.94
762,EUR,GBP,2024-11-20,0.88
763,EUR,JPY,2024-11-20,159.76
764,EUR,MXN,2024-11-20,17.76
765,EUR,USD,2024-11-20,1.09
766,EUR,CHF,2024-11-21,0.94
767,EUR,GBP,2024-11-21,0.88
768,EUR,JPY,2024-11-21,160.44
769,EUR,MXN,2024-11-21,17.80
770,EUR,USD,2024-11-21,1.10
771,EUR,CHF,2024-11-22,0.94
772,EUR,GBP,2024-11-22,0.88
773,EUR,JPY,2024-11-22,159.39
774,EUR,MXN,2024-11-22,17.83
775,EUR,USD,2024-11-22,1.10
776,EUR,CHF,2024-11-25,0.94
777,EUR,GBP,2024-11-25,0.88
778,EUR,JPY,2024-11-25,158.97
779,EUR,MXN,2024-11-25,17.83
780,EUR,USD,2024-11-25,1.10
781,EUR,CHF,2024-11-26,0.94
782,EUR,GBP,2024-11-26,0.88
783,EUR,JPY,2024-11-26,159.57
784,EUR,MXN,2024-11-26,17.88
785,EUR,USD,2024-11-26,1.10
786,EUR,CHF,2024-11-27,0.94
787,EUR,GBP,2024-11-27,0.88
788,EUR,JPY,2024-11-27,160.26
789,EUR,MXN,2024-11-27,17.88
790,EUR,USD,2024-11-27,1.10
791,EUR,CHF,2024-11-28,0.94
792,EUR,GBP,2024-11-28,0.88
793,EUR,JPY,2024-11-28,159.01
794,EUR,MXN,2024-11-28,17.98
795,EUR,USD,2024-11-28,1.10
796,EUR,CHF,2024-11-29,0.94
797,EUR,GBP,2024-11-29,0.88
798,EUR,JPY,2024-11-29,159.26
799,EUR,MXN,2024-11-29,17.91
800,EUR,USD,2024-11-29,1.11
801,EUR,CHF,2024-12-02,0.94
802,EUR,GBP,2024-12-02,0.88
803,EUR,JPY,2024-12-02,160.26
804,EUR,MXN,2024-12-02,17.85
805,EUR,USD,2024-12-02,1.10
806,EUR,CHF,2024-12-03,0.94
807,EUR,GBP,2024-12-03,0.89
808,EUR,JPY,2024-12-03,160.48
809,EUR,MXN,2024-12-03,17.75
810,EUR,USD,2024-12-03,1.10
811,EUR,CHF,2024-12-04,0.94
812,EUR,GBP,2024-12-04,0.88
813,EUR,JPY,2024-12-04,160.51
814,EUR,MXN,2024-12-04,17.70
815,EUR,USD,2024-12-04,1.10
816,EUR,CHF,2024-12-05,0.94
817,EUR,GBP,2024-12-05,0.89
818,EUR,JPY,2024-12-05,161.84
819,EUR,MXN,2024-12-05,17.77
820,EUR,USD,2024-12-05,1.09
821,EUR,CHF,2024-12-06,0.95
822,EUR,GBP,2024-12-06,0.89
823,EUR,JPY,2024-12-06,162.26
824,EUR,MXN,2024-12-06,17.86
825,EUR,USD,2024-12-06,1.09
826,EUR,CHF,2024-12-09,0.94
827,EUR,GBP,2024-12-09,0.89
828,EUR,JPY,2024-12-09,161.83
829,EUR,MXN,2024-12-09,18.02
830,EUR,USD,2024-12-09,1.09
831,EUR,CHF,2024-12-10,0.95
832,EUR,GBP,2024-12-10,0.89
833,EUR,JPY,2024-12-10,161.70
834,EUR,MXN,2024-12-10,18.11
835,EUR,USD,2024-12-10,1.09
836,EUR,CHF,2024-12-11,0.96
837,EUR,GBP,2024-12-11,0.89
838,EUR,JPY,2024-12-11,162.84
839,EUR,MXN,2024-12-11,18.09
840,EUR,USD,2024-12-11,1.09
841,EUR,CHF,2024-12-12,0.96
842,EUR,GBP,2024-12-12,0.88
843,EUR,JPY,2024-12-12,161.84
844,EUR,MXN,2024-12-12,17.93
845,EUR,USD,2024-12-12,1.09
846,EUR,CHF,2024-12-13,0.95
847,EUR,GBP,2024-12-13,0.88
848,EUR,JPY,2024-12-13,162.25
849,EUR,MXN,2024-12-13,18.08
850,EUR,USD,2024-12-13,1.10
851,EUR,CHF,2024-12-16,0.95
852,EUR,GBP,2024-12-16,0.88
853,EUR,JPY,2024-12-16,161.35
854,EUR,MXN,2024-12-16,17.90
855,EUR,USD,2024-12-16,1.09
856,EUR,CHF,2024-12-17,0.96
857,EUR,GBP,2024-12-17,0.88
858,EUR,JPY,2024-12-17,162.16
859,EUR,MXN,2024-12-17,17.99
860,EUR,USD,2024-12-17,1.09
861,EUR,CHF,2024-12-18,0.96
862,EUR,GBP,2024-12-18,0.89
863,EUR,JPY,2024-12-18,161.87
864,EUR,MXN,2024-12-18,18.07
865,EUR,USD,2024-12-18,1.08
866,EUR,CHF,2024-12-19,0.96
867,EUR,GBP,2024-12-19,0.89
868,EUR,JPY,2024-12-19,161.00
869,EUR,MXN,2024-12-19,18.04
870,EUR,USD,2024-12-19,1.07
871,EUR,CHF,2024-12-20,0.96
872,EUR,GBP,2024-12-20,0.89
873,EUR,JPY,2024-12-20,161.40
874,EUR,MXN,2024-12-20,18.24
875,EUR,USD,2024-12-20,1.07
876,EUR,CHF,2024-12-23,0.96
877,EUR,GBP,2024-12-23,0.89
878,EUR,JPY,2024-12-23,160.18
879,EUR,MXN,2024-12-23,18.31
880,EUR,USD,2024-12-23,1.07
881,EUR,CHF,2024-12-24,0.96
882,EUR,GBP,2024-12-24,0.89
883,EUR,JPY,2024-12-24,159.60
884,EUR,MXN,2024-12-24,18.43
885,EUR,USD,2024-12-24,1.07
886,EUR,CHF,2024-12-25,0.96
887,EUR,GBP,2024-12-25,0.89
888,EUR,JPY,2024-12-25,158.59
889,EUR,MXN,2024-12-25,18.39
890,EUR,USD,2024-12-25,1.07
891,EUR,CHF,2024-12-26,0.95
892,EUR,GBP,2024-12-26,0.89
893,EUR,JPY,2024-12-26,159.49
894,EUR,MXN,2024-12-26,18.48
895,EUR,USD,2024-12-26,1.07
896,EUR,CHF,2024-12-27,0.95
897,EUR,GBP,2024-12-27,0.89
898,EUR,JPY,2024-12-27,160.04
899,EUR,MXN,2024-12-27,18.51
900,EUR,USD,2024-12-27,1.08
901,EUR,CHF,2024-12-30,0.95
902,EUR,GBP,2024-12-30,0.88
903,EUR,JPY,2024-12-30,160.22
904,EUR,MXN,2024-12-30,18.55
905,EUR,USD,2024-12-30,1.08
906,EUR,CHF,2024-12-31,0.95
907,EUR,GBP,2024-12-31,0.89
908,EUR,JPY,2024-12-31,160.41
909,EUR,MXN,2024-12-31,18.53
910,EUR,USD,2024-12-31,1.07
911,EUR,CHF,2025-01-01,0.94
912,EUR,GBP,2025-01-01,0.89
913,EUR,JPY,2025-01-01,160.13
914,EUR,MXN,2025-01-01,18.53
915,EUR,USD,2025-01-01,1.08
916,EUR,CHF,2025-01-02,0.95
917,EUR,GBP,2025-01-02,0.89
918,EUR,JPY,2025-01-02,160.93
919,EUR,MXN,2025-01-02,18.54
920,EUR,USD,2025-01-02,1.08
921,EUR,CHF,2025-01-03,0.94
922,EUR,GBP,2025-01-03,0.88
923,EUR,JPY,2025-01-03,160.50
924,EUR,MXN,2025-01-03,18.48
925,EUR,USD,2025-01-03,1.08
926,EUR,CHF,2025-01-06,0.95
927,EUR,GBP,2025-01-06,0.88
928,EUR,JPY,2025-01-06,161.22
929,EUR,MXN,2025-01-06,18.40
930,EUR,USD,2025-01-06,1.08
931,EUR,CHF,2025-01-07,0.95
932,EUR,GBP,2025-01-07,0.88
933,EUR,JPY,2025-01-07,161.05
934,EUR,MXN,2025-01-07,18.44
935,EUR,USD,2025-01-07,1.08
936,EUR,CHF,2025-01-08,0.95
937,EUR,GBP,2025-01-08,0.88
938,EUR,JPY,2025-01-08,160.36
939,EUR,MXN,2025-01-08,18.49
940,EUR,USD,2025-01-08,1.08
941,EUR,CHF,2025-01-09,0.95
942,EUR,GBP,2025-01-09,0.89
943,EUR,JPY,2025-01-09,160.09
944,EUR,MXN,2025-01-09,18.57
945,EUR,USD,2025-01-09,1.08
946,EUR,CHF,2025-01-10,0.95
947,EUR,GBP,2025-01-10,0.89
948,EUR,JPY,2025-01-10,159.39
949,EUR,MXN,2025-01-10,18.63
950,EUR,USD,2025-01-10,1.09
951,EUR,CHF,2025-01-13,0.95
952,EUR,GBP,2025-01-13,0.89
953,EUR,JPY,2025-01-13,158.53
954,EUR,MXN,2025-01-13,18.69
955,EUR,USD,2025-01-13,1.08
956,EUR,CHF,2025-01-14,0.95
957,EUR,GBP,2025-01-14,0.89
958,EUR,JPY,2025-01-14,158.56
959,EUR,MXN,2025-01-14,18.68
960,EUR,USD,2025-01-14,1.09
961,EUR,CHF,2025-01-15,0.94
962,EUR,GBP,2025-01-15,0.89
963,EUR,JPY,2025-01-15,159.59
964,EUR,MXN,2025-01-15,18.61
965,EUR,USD,2025-01-15,1.09
966,EUR,CHF,2025-01-16,0.95
967,EUR,GBP,2025-01-16,0.88
968,EUR,JPY,2025-01-16,159.08
969,EUR,MXN,2025-01-16,18.80
970,EUR,USD,2025-01-16,1.09
971,EUR,CHF,2025-01-17,0.95
972,EUR,GBP,2025-01-17,0.88
973,EUR,JPY,2025-01-17,159.11
974,EUR,MXN,2025-01-17,18.74
975,EUR,USD,2025-01-17,1.09
976,EUR,CHF,2025-01-20,0.96
977,EUR,GBP,2025-01-20,0.88
978,EUR,JPY,2025-01-20,158.98
979,EUR,MXN,2025-01-20,18.70
980,EUR,USD,2025-01-20,1.09
981,EUR,CHF,2025-01-21,0.96
982,EUR,GBP,2025-01-21,0.89
983,EUR,JPY,2025-01-21,158.10
984,EUR,MXN,2025-01-21,18.69
985,EUR,USD,2025-01-21,1.10
986,EUR,CHF,2025-01-22,0.95
987,EUR,GBP,2025-01-22,0.89
988,EUR,JPY,2025-01-22,159.48
989,EUR,MXN,2025-01-22,18.83
990,EUR,USD,2025-01-22,1.10
991,EUR,CHF,2025-01-23,0.96
992,EUR,GBP,2025-01-23,0.89
993,EUR,JPY,2025-01-23,158.99
994,EUR,MXN,2025-01-23,19.02
995,EUR,USD,2025-01-23,1.10
996,EUR,CHF,2025-01-24,0.96
997,EUR,GBP,2025-01-24,0.89
998,EUR,JPY,2025-01-24,159.50
999,EUR,MXN,2025-01-24,19.04
1000,EUR,USD,2025-01-24,1.10
1001,EUR,CHF,2025-01-27,0.96
1002,EUR,GBP,2025-01-27,0.88
1003,EUR,JPY,2025-01-27,159.55
1004,EUR,MXN,2025-01-27,18.99
1005,EUR,USD,2025-01-27,1.10
1006,EUR,CHF,2025-01-28,0.95
1007,EUR,GBP,2025-01-28,0.88
1008,EUR,JPY,2025-01-28,159.70
1009,EUR,MXN,2025-01-28,18.89
1010,EUR,USD,2025-01-28,1.10
1011,EUR,CHF,2025-01-29,0.95
1012,EUR,GBP,2025-01-29,0.88
1013,EUR,JPY,2025-01-29,158.65
1014,EUR,MXN,2025-01-29,19.00
1015,EUR,USD,2025-01-29,1.09
1016,EUR,CHF,2025-01-30,0.95
1017,EUR,GBP,2025-01-30,0.88
1018,EUR,JPY,2025-01-30,159.19
1019,EUR,MXN,2025-01-30,19.00
1020,EUR,USD,2025-01-30,1.09
1021,EUR,CHF,2025-01-31,0.95
1022,EUR,GBP,2025-01-31,0.88
1023,EUR,JPY,2025-01-31,158.93
1024,EUR,MXN,2025-01-31,18.98
1025,EUR,USD,2025-01-31,1.09
1026,EUR,CHF,2025-02-03,0.96
1027,EUR,GBP,2025-02-03,0.89
1028,EUR,JPY,2025-02-03,159.92
1029,EUR,MXN,2025-02-03,19.07
1030,EUR,USD,2025-02-03,1.09
1031,EUR,CHF,2025-02-04,0.96
1032,EUR,GBP,2025-02-04,0.88
1033,EUR,JPY,2025-02-04,158.72
1034,EUR,MXN,2025-02-04,19.12
1035,EUR,USD,2025-02-04,1.09
1036,EUR,CHF,2025-02-05,0.95
1037,EUR,GBP,2025-02-05,0.89
1038,EUR,JPY,2025-02-05,158.36
1039,EUR,MXN,2025-02-05,19.06
1040,EUR,USD,2025-02-05,1.09
1041,EUR,CHF,2025-02-06,0.95
1042,EUR,GBP,2025-02-06,0.89
1043,EUR,JPY,2025-02-06,159.72
1044,EUR,MXN,2025-02-06,19.03
1045,EUR,USD,2025-02-06,1.09
1046,EUR,CHF,2025-02-07,0.95
1047,EUR,GBP,2025-02-07,0.89
1048,EUR,JPY,2025-02-07,159.32
1049,EUR,MXN,2025-02-07,19.09
1050,EUR,USD,2025-02-07,1.10
1051,EUR,CHF,2025-02-10,0.94
1052,EUR,GBP,2025-02-10,0.88
1053,EUR,JPY,2025-02-10,159.74
1054,EUR,MXN,2025-02-10,19.08
1055,EUR,USD,2025-02-10,1.10
1056,EUR,CHF,2025-02-11,0.94
1057,EUR,GBP,2025-02-11,0.88
1058,EUR,JPY,2025-02-11,160.05
1059,EUR,MXN,2025-02-11,19.06
1060,EUR,USD,2025-02-11,1.10
1061,EUR,CHF,2025-02-12,0.94
1062,EUR,GBP,2025-02-12,0.88
1063,EUR,JPY,2025-02-12,159.18
1064,EUR,MXN,2025-02-12,19.14
1065,EUR,USD,2025-02-12,1.09
1066,EUR,CHF,2025-02-13,0.94
1067,EUR,GBP,2025-02-13,0.88
1068,EUR,JPY,2025-02-13,159.34
1069,EUR,MXN,2025-02-13,19.09
1070,EUR,USD,2025-02-13,1.10
1071,EUR,CHF,2025-02-14,0.95
1072,EUR,GBP,2025-02-14,0.88
1073,EUR,JPY,2025-02-14,159.86
1074,EUR,MXN,2025-02-14,19.15
1075,EUR,USD,2025-02-14,1.09
1076,EUR,CHF,2025-02-17,0.95
1077,EUR,GBP,2025-02-17,0.88
1078,EUR,JPY,2025-02-17,159.24
1079,EUR,MXN,2025-02-17,19.11
1080,EUR,USD,2025-02-17,1.09
1081,EUR,CHF,2025-02-18,0.95
1082,EUR,GBP,2025-02-18,0.88
1083,EUR,JPY,2025-02-18,159.13
1084,EUR,MXN,2025-02-18,19.17
1085,EUR,USD,2025-02-18,1.09
1086,EUR,CHF,2025-02-19,0.94
1087,EUR,GBP,2025-02-19,0.88
1088,EUR,JPY,2025-02-19,158.09
1089,EUR,MXN,2025-02-19,19.26
1090,EUR,USD,2025-02-19,1.09
1091,EUR,CHF,2025-02-20,0.94
1092,EUR,GBP,2025-02-20,0.87
1093,EUR,JPY,2025-02-20,158.04
1094,EUR,MXN,2025-02-20,19.25
1095,EUR,USD,2025-02-20,1.08
1096,EUR,CHF,2025-02-21,0.94
1097,EUR,GBP,2025-02-21,0.88
1098,EUR,JPY,2025-02-21,157.82
1099,EUR,MXN,2025-02-21,19.32
1100,EUR,USD,2025-02-21,1.08
1101,EUR,CHF,2025-02-24,0.94
1102,EUR,GBP,2025-02-24,0.89
1103,EUR,JPY,2025-02-24,157.69
1104,EUR,MXN,2025-02-24,19.27
1105,EUR,USD,2025-02-24,1.08
1106,EUR,CHF,2025-02-25,0.94
1107,EUR,GBP,2025-02-25,0.88
1108,EUR,JPY,2025-02-25,157.99
1109,EUR,MXN,2025-02-25,19.20
1110,EUR,USD,2025-02-25,1.08
1111,EUR,CHF,2025-02-26,0.94
1112,EUR,GBP,2025-02-26,0.88
1113,EUR,JPY,2025-02-26,159.03
1114,EUR,MXN,2025-02-26,19.15
1115,EUR,USD,2025-02-26,1.09
1116,EUR,CHF,2025-02-27,0.94
1117,EUR,GBP,2025-02-27,0.89
1118,EUR,JPY,2025-02-27,159.79
1119,EUR,MXN,2025-02-27,19.15
1120,EUR,USD,2025-02-27,1.09
1121,EUR,CHF,2025-02-28,0.94
1122,EUR,GBP,2025-02-28,0.89
1123,EUR,JPY,2025-02-28,160.04
1124,EUR,MXN,2025-02-28,19.18
1125,EUR,USD,2025-02-28,1.09
1126,EUR,CHF,2025-03-03,0.94
1127,EUR,GBP,2025-03-03,0.89
1128,EUR,JPY,2025-03-03,159.48
1129,EUR,MXN,2025-03-03,19.09
1130,EUR,USD,2025-03-03,1.08
1131,EUR,CHF,2025-03-04,0.94
1132,EUR,GBP,2025-03-04,0.89
1133,EUR,JPY,2025-03-04,158.48
1134,EUR,MXN,2025-03-04,18.94
1135,EUR,USD,2025-03-04,1.08
1136,EUR,CHF,2025-03-05,0.93
1137,EUR,GBP,2025-03-05,0.89
1138,EUR,JPY,2025-03-05,159.71
1139,EUR,MXN,2025-03-05,18.82
1140,EUR,USD,2025-03-05,1.08
1141,EUR,CHF,2025-03-06,0.93
1142,EUR,GBP,2025-03-06,0.89
1143,EUR,JPY,2025-03-06,159.20
1144,EUR,MXN,2025-03-06,18.97
1145,EUR,USD,2025-03-06,1.08
1146,EUR,CHF,2025-03-07,0.94
1147,EUR,GBP,2025-03-07,0.89
1148,EUR,JPY,2025-03-07,159.31
1149,EUR,MXN,2025-03-07,18.86
1150,EUR,USD,2025-03-07,1.08
1151,EUR,CHF,2025-03-10,0.93
1152,EUR,GBP,2025-03-10,0.88
1153,EUR,JPY,2025-03-10,159.63
1154,EUR,MXN,2025-03-10,18.78
1155,EUR,USD,2025-03-10,1.08
1156,EUR,CHF,2025-03-11,0.93
1157,EUR,GBP,2025-03-11,0.89
1158,EUR,JPY,2025-03-11,159.67
1159,EUR,MXN,2025-03-11,18.79
1160,EUR,USD,2025-03-11,1.08
1161,EUR,CHF,2025-03-12,0.94
1162,EUR,GBP,2025-03-12,0.89
1163,EUR,JPY,2025-03-12,160.38
1164,EUR,MXN,2025-03-12,18.85
1165,EUR,USD,2025-03-12,1.08
1166,EUR,CHF,2025-03-13,0.93
1167,EUR,GBP,2025-03-13,0.88
1168,EUR,JPY,2025-03-13,160.63
1169,EUR,MXN,2025-03-13,18.89
1170,EUR,USD,2025-03-13,1.08
1171,EUR,CHF,2025-03-14,0.93
1172,EUR,GBP,2025-03-14,0.88
1173,EUR,JPY,2025-03-14,160.87
1174,EUR,MXN,2025-03-14,18.88
1175,EUR,USD,2025-03-14,1.08
1176,EUR,CHF,2025-03-17,0.92
1177,EUR,GBP,2025-03-17,0.88
1178,EUR,JPY,2025-03-17,161.35
1179,EUR,MXN,2025-03-17,18.86
1180,EUR,USD,2025-03-17,1.08
1181,EUR,CHF,2025-03-18,0.93
1182,EUR,GBP,2025-03-18,0.88
1183,EUR,JPY,2025-03-18,161.03
1184,EUR,MXN,2025-03-18,18.90
1185,EUR,USD,2025-03-18,1.08
1186,EUR,CHF,2025-03-19,0.93
1187,EUR,GBP,2025-03-19,0.88
1188,EUR,JPY,2025-03-19,160.87
1189,EUR,MXN,2025-03-19,18.87
1190,EUR,USD,2025-03-19,1.08
1191,EUR,CHF,2025-03-20,0.93
1192,EUR,GBP,2025-03-20,0.88
1193,EUR,JPY,2025-03-20,161.46
1194,EUR,MXN,2025-03-20,18.96
1195,EUR,USD,2025-03-20,1.08
1196,EUR,CHF,2025-03-21,0.94
1197,EUR,GBP,2025-03-21,0.88
1198,EUR,JPY,2025-03-21,162.37
1199,EUR,MXN,2025-03-21,18.93
1200,EUR,USD,2025-03-21,1.08
1201,EUR,CHF,2025-03-24,0.94
1202,EUR,GBP,2025-03-24,0.88
1203,EUR,JPY,2025-03-24,161.44
1204,EUR,MXN,2025-03-24,18.89
1205,EUR,USD,2025-03-24,1.09
1206,EUR,CHF,2025-03-25,0.94
1207,EUR,GBP,2025-03-25,0.88
1208,EUR,JPY,2025-03-25,161.32
1209,EUR,MXN,2025-03-25,18.86
1210,EUR,USD,2025-03-25,1.09
1211,EUR,CHF,2025-03-26,0.94
1212,EUR,GBP,2025-03-26,0.88
1213,EUR,JPY,2025-03-26,160.20
1214,EUR,MXN,2025-03-26,18.96
1215,EUR,USD,2025-03-26,1.09
1216,EUR,CHF,2025-03-27,0.93
1217,EUR,GBP,2025-03-27,0.89
1218,EUR,JPY,2025-03-27,159.56
1219,EUR,MXN,2025-03-27,19.05
1220,EUR,USD,2025-03-27,1.09
1221,EUR,CHF,2025-03-28,0.93
1222,EUR,GBP,2025-03-28,0.89
1223,EUR,JPY,2025-03-28,158.73
1224,EUR,MXN,2025-03-28,19.08
1225,EUR,USD,2025-03-28,1.09
1226,EUR,CHF,2025-03-31,0.94
1227,EUR,GBP,2025-03-31,0.89
1228,EUR,JPY,2025-03-31,158.16
1229,EUR,MXN,2025-03-31,19.08
1230,EUR,USD,2025-03-31,1.09
1231,EUR,CHF,2025-04-01,0.94
1232,EUR,GBP,2025-04-01,0.89
1233,EUR,JPY,2025-04-01,158.20
1234,EUR,MXN,2025-04-01,19.19
1235,EUR,USD,2025-04-01,1.10
1236,EUR,CHF,2025-04-02,0.94
1237,EUR,GBP,2025-04-02,0.90
1238,EUR,JPY,2025-04-02,158.12
1239,EUR,MXN,2025-04-02,19.24
1240,EUR,USD,2025-04-02,1.10
1241,EUR,CHF,2025-04-03,0.93
1242,EUR,GBP,2025-04-03,0.90
1243,EUR,JPY,2025-04-03,158.46
1244,EUR,MXN,2025-04-03,19.25
1245,EUR,USD,2025-04-03,1.10
1246,EUR,CHF,2025-04-04,0.93
1247,EUR,GBP,2025-04-04,0.89
1248,EUR,JPY,2025-04-04,158.52
1249,EUR,MXN,2025-04-04,19.07
1250,EUR,USD,2025-04-04,1.10
1251,EUR,CHF,2025-04-07,0.93
1252,EUR,GBP,2025-04-07,0.89
1253,EUR,JPY,2025-04-07,160.13
1254,EUR,MXN,2025-04-07,19.13
1255,EUR,USD,2025-04-07,1.10
1256,EUR,CHF,2025-04-08,0.93
1257,EUR,GBP,2025-04-08,0.89
1258,EUR,JPY,2025-04-08,160.68
1259,EUR,MXN,2025-04-08,19.05
1260,EUR,USD,2025-04-08,1.10
1261,EUR,CHF,2025-04-09,0.94
1262,EUR,GBP,2025-04-09,0.89
1263,EUR,JPY,2025-04-09,159.78
1264,EUR,MXN,2025-04-09,19.14
1265,EUR,USD,2025-04-09,1.10
1266,EUR,CHF,2025-04-10,0.94
1267,EUR,GBP,2025-04-10,0.89
1268,EUR,JPY,2025-04-10,160.64
1269,EUR,MXN,2025-04-10,19.00
1270,EUR,USD,2025-04-10,1.09
1271,EUR,CHF,2025-04-11,0.95
1272,EUR,GBP,2025-04-11,0.89
1273,EUR,JPY,2025-04-11,161.09
1274,EUR,MXN,2025-04-11,19.04
1275,EUR,USD,2025-04-11,1.09
1276,EUR,CHF,2025-04-14,0.95
1277,EUR,GBP,2025-04-14,0.89
1278,EUR,JPY,2025-04-14,162.17
1279,EUR,MXN,2025-04-14,19.05
1280,EUR,USD,2025-04-14,1.09
1281,EUR,CHF,2025-04-15,0.96
1282,EUR,GBP,2025-04-15,0.89
1283,EUR,JPY,2025-04-15,162.00
1284,EUR,MXN,2025-04-15,18.99
1285,EUR,USD,2025-04-15,1.09
1286,EUR,CHF,2025-04-16,0.96
1287,EUR,GBP,2025-04-16,0.89
1288,EUR,JPY,2025-04-16,162.70
1289,EUR,MXN,2025-04-16,19.09
1290,EUR,USD,2025-04-16,1.09
1291,EUR,CHF,2025-04-17,0.96
1292,EUR,GBP,2025-04-17,0.89
1293,EUR,JPY,2025-04-17,162.96
1294,EUR,MXN,2025-04-17,19.12
1295,EUR,USD,2025-04-17,1.09
1296,EUR,CHF,2025-04-18,0.96
1297,EUR,GBP,2025-04-18,0.88
1298,EUR,JPY,2025-04-18,163.56
1299,EUR,MXN,2025-04-18,19.20
1300,EUR,USD,2025-04-18,1.09
1301,EUR,CHF,2025-04-21,0.95
1302,EUR,GBP,2025-04-21,0.88
1303,EUR,JPY,2025-04-21,163.48
1304,EUR,MXN,2025-04-21,19.10
1305,EUR,USD,2025-04-21,1.09
1306,EUR,CHF,2025-04-22,0.95
1307,EUR,GBP,2025-04-22,0.88
1308,EUR,JPY,2025-04-22,163.74
1309,EUR,MXN,2025-04-22,19.36
1310,EUR,USD,2025-04-22,1.09
1311,EUR,CHF,2025-04-23,0.95
1312,EUR,GBP,2025-04-23,0.88
1313,EUR,JPY,2025-04-23,162.45
1314,EUR,MXN,2025-04-23,19.44
1315,EUR,USD,2025-04-23,1.09
1316,EUR,CHF,2025-04-24,0.95
1317,EUR,GBP,2025-04-24,0.88
1318,EUR,JPY,2025-04-24,162.15
1319,EUR,MXN,2025-04-24,19.38
1320,EUR,USD,2025-04-24,1.08
1321,EUR,CHF,2025-04-25,0.96
1322,EUR,GBP,2025-04-25,0.88
1323,EUR,JPY,2025-04-25,162.00
1324,EUR,MXN,2025-04-25,19.41
1325,EUR,USD,2025-04-25,1.08
1326,EUR,CHF,2025-04-28,0.96
1327,EUR,GBP,2025-04-28,0.88
