id,vin,plate,model_id,year,colour,fuel_type,transmission,engine_cc,power_hp,mileage_km,registered_on
248,ZZG85VYG9AM141622,0043 GBS,5,2010,Negro,diesel,automatic,1186,72,200391,2010-04-20
249,ZZHZKYE14KG800166,9654 RXN,32,2019,Plata,lpg,manual,2415,307,87613,2019-07-22
250,ZZBRVTZL0AF328925,4034 FMX,42,2010,Plata,petrol,manual,1206,101,126056,2010-07-22
251,ZZM6L6F95SA549039,4207 YLJ,45,2025,Blanco,petrol,manual,1585,151,1485,2025-05-31
252,ZZJ82FN66KE140458,7567 BZP,23,2019,Plata,petrol,automatic,1191,128,39370,2019-01-04
253,ZZKU5NW98EC694931,4152 SSP,26,2014,Blanco,diesel,manual,1984,237,190979,2014-01-05
254,ZZC4B8GX1KB262752,1550 GFW,67,2019,Negro,diesel,manual,1207,113,78188,2019-10-19
255,ZZHAK8209NE017353,5095 ZPT,52,2022,Plata,petrol,manual,2430,300,46635,2022-11-22
256,ZZKLPUE03RM171951,9868 FRD,51,2024,Gris,diesel,automatic,1275,124,7177,2024-10-09
257,ZZC3RL2X9LN954551,8712 HVG,66,2020,Azul,hybrid,automatic,2335,268,52062,2020-07-18
258,ZZMWBC2WXHY910651,8196 MNW,37,2017,Negro,diesel,manual,1915,181,158279,2017-10-24
259,ZZH7821M5SW166567,4405 WXS,52,2025,Plata,diesel,manual,1425,269,4099,2025-02-14
260,ZZFR0GT50EZ032354,5320 GHH,44,2014,Gris,plug_in_hybrid,manual,1507,144,132978,2014-04-04
261,ZZHRH4223FS563760,4349 WHS,50,2015,Plata,diesel,manual,1347,100,103113,2015-08-01
262,ZZG51UV26NJ245865,7715 BLV,30,2022,Blanco,hybrid,manual,1188,93,56561,2022-05-14
263,ZZCX4X7Y3JK344975,9384 GXH,12,2018,Negro,diesel,manual,1434,129,78778,2018-08-22
264,ZZCGVPA52NW778167,1162 JTF,36,2022,Azul,petrol,automatic,2285,285,19788,2022-07-01
265,ZZBBWDPS3JN250273,8762 LJZ,19,2018,Rojo,lpg,manual,1719,158,46713,2018-12-18
266,ZZHZTGW30JA999743,5299 YYY,32,2018,Blanco,petrol,automatic,2970,260,49076,2018-03-01
267,ZZCSCFP77SC092514,3609 BGC,57,2025,Blanco,petrol,manual,1831,181,1264,2025-05-26
268,ZZM80N9X5FL129278,7771 VVF,34,2015,Verde,petrol,manual,1745,284,96180,2015-12-06
269,ZZMM6VHA3AL786776,0373 ZSP,58,2010,Rojo,diesel,automatic,1191,116,278915,2010-04-16
270,ZZL0GP4F2HF622876,3362 DDM,22,2017,Plata,lpg,manual,2183,195,54781,2017-01-20
271,ZZFJZGLW0CF714550,0315 FLX,44,2012,Blanco,petrol,manual,1957,159,66033,2012-07-29
272,ZZMGWE514PP154386,0227 TKW,53,2023,Blanco,petrol,manual,2262,161,29118,2023-06-30
273,ZZBS0UAR4DN308435,9517 XGL,8,2013,Negro,petrol,manual,2239,286,173189,2013-09-30
274,ZZAP45BH4HF827897,6826 CLS,13,2017,Blanco,diesel,automatic,1546,180,105984,2017-12-09
275,ZZAU4XV86JL866900,2522 KXL,43,2018,Negro,petrol,automatic,1046,86,74219,2018-11-08
276,ZZCLXTHG0LP660912,0083 CJR,67,2020,Marrón,diesel,automatic,1367,108,44151,2020-09-14
277,ZZBAAGGFXDJ853862,8860 DHV,42,2013,Gris,diesel,automatic,1406,128,181383,2013-01-24
278,ZZNNMWTB9MC658798,1308 GYC,18,2021,Plata,petrol,manual,1439,135,93582,2021-02-25
279,ZZAN423T3JJ541017,1752 LBD,13,2018,Blanco,diesel,manual,1387,155,60747,2018-07-25
280,ZZG05C5A7SL265879,5669 MNB,16,2025,Blanco,diesel,manual,1908,192,1205,2025-05-14
281,ZZMB9BTP8DD441122,0653 GXG,34,2013,Blanco,petrol,automatic,1942,183,199541,2013-04-18
282,ZZHY26FT9CL228682,0783 LHY,11,2012,Negro,diesel,manual,1807,179,175958,2012-05-27
283,ZZLZ1K4XXHF512114,8958 LNV,22,2017,Gris,petrol,automatic,2299,254,70529,2017-06-23
284,ZZA2ELC94GT869702,4885 ZHL,55,2016,Rojo,petrol,automatic,1304,92,102545,2016-12-27
285,ZZC2JT5C2NH991714,6277 KFY,36,2022,Plata,petrol,manual,1601,223,28827,2022-09-13
286,ZZLEB4251JC647756,9904 HZS,4,2018,Gris,diesel,automatic,2490,193,119282,2018-01-15
287,ZZFGSB6U3PS216285,1779 RYR,31,2023,Verde,diesel,manual,2918,205,42308,2023-04-15
288,ZZCSH2Y23RS018245,6420 NDM,27,2024,Plata,diesel,manual,1072,91,19803,2024-03-23
289,ZZKX9M8V9HC857886,4323 RBF,26,2017,Gris,petrol,manual,2014,133,115061,2017-10-12
290,ZZA63X8E5JL357930,2357 XZV,55,2018,Blanco,hybrid,manual,1310,116,103839,2018-09-09
291,ZZNBAGHW9RG224362,0999 WBC,39,2024,Gris,diesel,manual,1049,88,28277,2024-01-25
292,ZZDC2WPF1HY345588,1906 RXB,20,2017,Blanco,diesel,manual,1490,119,126555,2017-11-08
293,ZZLXYKH74KE876541,5695 HGS,22,2019,Blanco,diesel,manual,1826,223,123023,2019-05-03
294,ZZBT6DW15HT566471,0566 PTC,40,2017,Marrón,petrol,manual,1673,245,134569,2017-01-12
295,ZZHEGB3P1KJ379675,3006 VPP,70,2019,Negro,diesel,automatic,2158,157,81210,2019-10-27
296,ZZMZLRW0XLF480806,7881 BLV,37,2020,Negro,plug_in_hybrid,automatic,1901,178,49165,2020-06-14
297,ZZHFDYG55CT798451,4644 MTR,11,2012,Plata,diesel,manual,1324,186,95275,2012-04-21
298,ZZCFC6P44MA734791,0485 PNG,12,2021,Plata,petrol,manual,1459,120,50286,2021-12-07
299,ZZJ5N6156RU354017,3730 HFX,23,2024,Plata,petrol,manual,1223,96,14585,2024-04-01
300,ZZH9R0YM8EK788110,2334 YHR,1,2014,Plata,petrol,automatic,2442,193,124642,2014-11-08
301,ZZC3GKZ82RU131280,4024 NLX,12,2024,Blanco,hybrid,automatic,1268,127,19203,2024-05-30
302,ZZBR8XS5XGA630951,5764 RZP,19,2016,Blanco,diesel,manual,1713,126,109897,2016-05-15
303,ZZJGF8NP1FW242786,1053 NLM,15,2015,Gris,diesel,manual,1560,167,86455,2015-04-05
304,ZZBXX1ND7MP118731,7424 FFK,24,2021,Plata,diesel,automatic,1107,110,52548,2021-04-04
305,ZZCLKEGJ7FT091219,5595 PRM,27,2015,Negro,diesel,manual,1378,106,156493,2015-11-12
306,ZZJ2WX891LN987430,8927 ZWT,28,2020,Verde,petrol,automatic,1874,141,127112,2020-04-22
307,ZZNVFTEW8SL854088,0468 GBV,46,2025,Rojo,diesel,automatic,1475,155,1090,2025-05-23
308,ZZC37LNZ8LT874124,0087 VRH,36,2020,Gris,electric,manual,0,214,64269,2020-08-11
309,ZZCPZCC2XRM662328,9065 XDV,36,2024,Rojo,diesel,automatic,2081,267,24585,2024-03-04
310,ZZH1Y2ZZ8RE858960,1468 LKJ,32,2024,Blanco,diesel,manual,2331,203,2982,2024-09-09
311,ZZH8ZJCC5RU647280,6737 BWD,38,2024,Verde,hybrid,manual,1223,136,11078,2024-05-26
312,ZZJ5GXXG6KZ017798,2608 DLM,28,2019,Blanco,petrol,manual,1675,173,73192,2019-11-10
313,ZZBYWNCZ1GY030544,4530 GJT,19,2016,Gris,hybrid,automatic,1973,115,68352,2016-09-29
314,ZZA95VT06HD811792,3259 SGX,55,2017,Negro,hybrid,manual,1178,99,79436,2017-12-12
315,ZZKDERMT1RV985786,5197 XWF,51,2024,Plata,plug_in_hybrid,automatic,1218,120,24285,2024-04-13
316,ZZNYT9EU0ST712373,0381 CBM,46,2025,Negro,diesel,manual,1680,197,4714,2025-01-18
317,ZZMUHKP05NP164373,5116 XKY,45,2022,Negro,hybrid,manual,1840,163,74732,2022-06-14
318,ZZL8LYUN0NX174980,7035 SZL,65,2022,Azul,petrol,manual,1146,90,33174,2022-04-27
319,ZZBUV5867PR605899,7397 SWM,24,2023,Blanco,diesel,manual,1121,116,34884,2023-01-06
320,ZZJ4X8RY2KM512956,0562 BLD,23,2019,Plata,diesel,manual,1180,114,90661,2019-07-27
321,ZZHE5EAE0GB675751,1676 SJK,11,2016,Blanco,petrol,manual,1540,111,111817,2016-12-13
322,ZZFFTK5K5BW300067,3102 RTF,44,2011,Azul,petrol,manual,1765,176,181747,2011-08-25
323,ZZC0G4HY6GK375703,1373 DMG,27,2016,Gris,electric,manual,0,94,114327,2016-09-28
324,ZZBASTN83LK170629,1499 TKJ,24,2020,Azul,petrol,automatic,1142,96,50271,2020-02-15
325,ZZFRAD188RJ749923,6200 TNN,33,2024,Negro,petrol,manual,2116,107,7103,2024-09-29
326,ZZGDNEZA6JK761834,5312 DMT,48,2018,Blanco,petrol,manual,2127,289,102238,2018-08-24
327,ZZD5RXM29SG946952,0770 PZB,20,2025,Blanco,petrol,manual,1416,119,791,2025-06-21
328,ZZD3J2208NE445943,0896 WHC,10,2022,Rojo,diesel,manual,1508,181,17513,2022-12-02
329,ZZHPNW0V4SC697139,6769 FMT,70,2025,Negro,petrol,manual,2410,211,5080,2025-02-05
330,ZZKT45LT5FM928338,0289 JCM,68,2015,Gris,diesel,manual,1328,118,52397,2015-07-27
331,ZZHNA3SK5SX256729,9352 FFG,7,2025,Rojo,petrol,manual,1212,121,4820,2025-01-13
332,ZZGNGA2E1NX340696,9417 KVW,16,2022,Plata,diesel,manual,2494,210,50319,2022-02-19
333,ZZHPZ7GM2EP107248,4406 XGK,50,2014,Plata,diesel,automatic,1027,97,88849,2014-01-11
334,ZZCXY9M4XSZ400596,7590 NDD,41,2025,Blanco,diesel,manual,1251,117,238,2025-06-09
335,ZZBJAL5Y6MZ907009,4008 RYM,24,2021,Blanco,diesel,manual,1335,96,58565,2021-05-28
336,ZZMR0TDF0NC873022,6078 YZW,56,2022,Gris,petrol,automatic,1706,131,36592,2022-11-14
337,ZZBFJEZR8AW052069,5825 RXL,8,2010,Rojo,electric,automatic,0,137,152156,2010-10-14
338,ZZMHLYW66JJ986024,1655 DKK,37,2018,Gris,hybrid,automatic,1483,188,135573,2018-04-24
339,ZZMMYJWG1LR113608,4501 NGL,56,2020,Blanco,diesel,manual,2365,185,95046,2020-11-27
340,ZZNL0JM30KZ268552,8293 KTZ,18,2019,Verde,diesel,manual,1306,111,48639,2019-11-03
341,ZZFH3JBKXPA973478,6029 XFP,31,2023,Rojo,lpg,manual,2130,228,20130,2023-11-06
342,ZZCN8Y3A7NY626551,4081 CLV,12,2022,Marrón,petrol,manual,1080,126,38836,2022-12-27
343,ZZHVL9SH9ES888975,9784 TSN,1,2014,Blanco,petrol,manual,2389,172,90699,2014-07-14
344,ZZCEUP503SN158230,4493 RJT,66,2025,Negro,hybrid,automatic,2047,216,1239,2025-05-27
345,ZZLA2LMH2GJ250951,4488 ZDV,2,2016,Blanco,petrol,automatic,943,95,78802,2016-01-27
346,ZZNM5F5X4MV424302,1687 WXX,18,2021,Blanco,hybrid,automatic,1592,140,78174,2021-03-01
347,ZZG8FVU33GS267317,5254 SJB,64,2016,Negro,diesel,automatic,2399,235,45910,2016-08-18
348,ZZC8AZAXXCB348579,6053 PYH,27,2012,Azul,petrol,manual,1376,96,290375,2012-05-01
349,ZZLX7D8M3NZ337054,1979 DSY,22,2022,Negro,petrol,automatic,2201,168,51130,2022-05-08
350,ZZB6BRUP4HY561262,6269 JDW,19,2017,Verde,hybrid,manual,1549,189,83440,2017-04-17
351,ZZH96M9L3PL865307,5639 FSS,7,2023,Verde,diesel,manual,1232,100,20261,2023-05-17
352,ZZFNJAY56NR944214,9753 HMN,31,2022,Negro,diesel,manual,2795,219,42493,2022-11-26
353,ZZBXE60G1MN943096,9263 ZFS,59,2021,Gris,petrol,manual,1295,112,19566,2021-11-02
354,ZZFHVB7E0FX342317,9050 HYC,44,2015,Naranja,hybrid,manual,1599,141,103686,2015-12-09
355,ZZG8B58A4SL247875,1668 DYZ,16,2025,Gris,petrol,automatic,1937,244,2153,2025-03-24
356,ZZJPJYY92HN900958,3529 XKT,28,2017,Verde,lpg,automatic,1477,172,59496,2017-12-01
357,ZZJ6JJ8Z7JU166560,7050 SSX,15,2018,Blanco,hybrid,manual,1665,223,137839,2018-09-05
358,ZZMN0FS91RJ530993,6049 WLR,45,2024,Blanco,diesel,manual,1613,118,7464,2024-09-22
359,ZZLPNAWEXLC822811,9819 RYV,4,2020,Rojo,petrol,automatic,2027,253,61690,2020-03-26
360,ZZBJ9P4G0LH949138,3417 GJH,24,2020,Blanco,petrol,manual,1293,116,92187,2020-05-28
361,ZZNRMULYXKU269296,0910 SDZ,18,2019,Blanco,petrol,manual,1922,140,21690,2019-09-30
362,ZZL29VG28FP444799,7352 XZL,4,2015,Gris,petrol,automatic,1844,161,189086,2015-04-05
363,ZZH9L6HS9GV131272,7338 RCL,25,2016,Blanco,petrol,manual,974,81,177378,2016-03-11
364,ZZHN6L2X4PE848154,2686 RFW,17,2023,Plata,diesel,manual,943,74,27729,2023-12-13
365,ZZFF92TZ6MX528705,0399 DMP,31,2021,Plata,diesel,manual,2319,288,49276,2021-02-21
366,ZZK91JZN9MT978666,5742 JBJ,51,2021,Rojo,petrol,manual,1735,132,46430,2021-03-15
367,ZZBAXRRG2GT259551,0066 VHT,54,2016,Negro,hybrid,manual,1553,152,50456,2016-10-20
368,ZZGW5N7P4SE275989,5430 VMS,16,2025,Blanco,petrol,manual,1511,144,2026,2025-04-06
369,ZZN7EC32XJU275012,1378 DSX,18,2018,Negro,diesel,automatic,1957,135,112111,2018-12-29
370,ZZKCEGYH5FJ291840,9478 ZZJ,68,2015,Blanco,petrol,automatic,1397,100,124626,2015-07-25
371,ZZH5L4KA2GK404864,4479 JLW,32,2016,Negro,petrol,manual,2187,368,153288,2016-04-19
372,ZZH2R4292SD445628,0346 RYB,7,2025,Blanco,diesel,automatic,1337,117,3765,2025-02-24
373,ZZCMZ4EGXKV020337,8018 PVC,27,2019,Blanco,petrol,manual,1446,121,96122,2019-02-08
374,ZZN3XFZB0KB619235,3993 LDS,18,2019,Blanco,petrol,manual,1952,145,99430,2019-12-05
375,ZZF98FCJ3LB691843,9422 LZW,31,2020,Azul,petrol,manual,2858,212,37482,2020-07-22
376,ZZCX4LKD7ML243398,3197 ZDK,67,2021,Blanco,petrol,manual,1277,122,75080,2021-06-25
377,ZZHLXS111RH248530,8867 SFF,70,2024,Gris,diesel,automatic,2145,248,1314,2024-11-02
378,ZZAFKC670FU938415,2577 HWG,13,2015,Azul,diesel,automatic,1366,112,195059,2015-08-28
379,ZZHGL2790NT972212,6782 XHV,32,2022,Gris,diesel,manual,2163,270,43837,2022-03-28
380,ZZH9RKE6XPC602906,3094 MWW,25,2023,Blanco,diesel,manual,1122,95,20873,2023-01-03
381,ZZHRMCPP7SZ936990,7394 PJR,7,2025,Blanco,hybrid,manual,1308,108,3409,2025-04-05
382,ZZLL8F415NC842082,8421 JTY,22,2022,Plata,petrol,automatic,2144,178,46460,2022-01-29
383,ZZB1718T4SL486247,6662 MGS,59,2025,Blanco,petrol,manual,1257,123,2222,2025-02-12
384,ZZD052ZB9DL698133,3407 KRF,47,2013,Negro,petrol,manual,2361,158,177703,2013-12-01
385,ZZJALKN83SE093883,5104 TTN,14,2025,Gris,petrol,manual,2150,200,1582,2025-06-02
386,ZZGKUP916PW383571,0487 GGH,16,2023,Blanco,petrol,automatic,1438,244,8115,2023-08-13
387,ZZGZCWRC2SK341573,4651 DHF,30,2025,Plata,hybrid,automatic,1210,95,2253,2025-05-12
388,ZZL6665W8JU796538,4439 STJ,60,2018,Negro,petrol,automatic,1105,95,13574,2018-09-16
389,ZZH5VPPN1SZ430900,2683 DPF,52,2025,Negro,petrol,automatic,2041,213,589,2025-05-11
390,ZZNR6UJ85SM314027,4618 CDL,39,2025,Blanco,diesel,manual,1164,78,7841,2025-01-29
391,ZZK26XL88GX462997,1319 TDG,68,2016,Azul,diesel,manual,1075,130,112691,2016-02-17
392,ZZJNAALX7JH460180,7663 BHN,28,2018,Amarillo,diesel,manual,1564,114,86091,2018-01-24
393,ZZBTUZ7N0RF162031,1063 LDV,61,2024,Blanco,diesel,manual,1584,196,29600,2024-03-23
394,ZZNV46XZ8ST591938,3243 CYJ,46,2025,Gris,petrol,manual,2082,155,3975,2025-05-05
395,ZZC8KPC36LY420743,1351 JTY,66,2020,Blanco,diesel,manual,1613,210,49398,2020-05-22
396,ZZBPNRDG0NV529417,7523 RHX,61,2022,Negro,diesel,manual,2166,287,32384,2022-01-27
397,ZZD2S9LZXMS030704,3470 GKN,20,2021,Negro,petrol,manual,1451,109,60589,2021-08-18
398,ZZF3CREP0MD934036,1363 FYZ,49,2021,Azul,hybrid,automatic,1855,123,60721,2021-06-03
399,ZZN14FLEXMM569700,6805 XCM,18,2021,Negro,diesel,manual,1283,157,26718,2021-04-04
400,ZZBYR84AXCJ435631,8431 WST,42,2012,Negro,diesel,manual,1289,98,78825,2012-10-09
401,ZZFA2EKC2NH213408,0814 WBS,31,2022,Plata,hybrid,manual,2100,363,15064,2022-10-04
402,ZZJKPVLP6KS785111,2326 PZG,23,2019,Plata,petrol,manual,1106,95,61541,2019-06-11
403,ZZDCJKW22LZ582314,5214 DRC,10,2020,Rojo,petrol,automatic,1693,124,58755,2020-02-04
404,ZZGTFTCF8FR921518,5385 NRN,5,2015,Azul,petrol,manual,1039,88,129825,2015-09-24
405,ZZAAH7AL5FC260707,0027 HXC,13,2015,Azul,diesel,automatic,1896,153,124646,2015-07-10
406,ZZH3XJUKXLD875109,4846 LKM,32,2020,Plata,diesel,manual,2703,372,78167,2020-01-15
407,ZZHZHT6R6PU276842,8901 YXF,50,2023,Naranja,diesel,manual,1352,126,26066,2023-11-12
408,ZZGCP5B32PE881431,7929 CCT,16,2023,Plata,petrol,automatic,2374,155,19573,2023-10-06
409,ZZH4R96XXGC649945,7653 DCK,11,2016,Blanco,plug_in_hybrid,automatic,1587,137,172422,2016-01-31
410,ZZHGEPYW3SN319417,6821 NHT,38,2025,Plata,petrol,manual,1374,118,1471,2025-05-14
411,ZZHVLJNA6LV428877,7798 BGH,32,2020,Blanco,diesel,manual,2898,295,66249,2020-10-10
412,ZZCEP4CS8AZ661639,1409 ZVR,6,2010,Negro,hybrid,manual,1845,170,249492,2010-05-23
413,ZZM446H94JR077465,4360 BFS,56,2018,Negro,petrol,manual,2305,252,176730,2018-04-30
414,ZZC6VC7D9CT516406,6590 KXL,6,2012,Azul,diesel,manual,1890,169,172592,2012-11-12
415,ZZM21MBG8PF541802,5596 WHV,56,2023,Blanco,petrol,manual,1522,220,29208,2023-02-05
416,ZZM4TU565KV425557,2392 BMV,58,2019,Blanco,hybrid,manual,1181,127,111666,2019-01-29
417,ZZMBF55D3KJ327086,4018 TCL,56,2019,Azul,petrol,manual,2030,173,64382,2019-05-25
418,ZZH9CLB06RN757113,7725 MBC,7,2024,Verde,diesel,automatic,1353,110,7813,2024-11-09
419,ZZHBV6D42LC576378,1368 PXX,70,2020,Blanco,diesel,manual,1573,132,61024,2020-09-11
420,ZZNEYZ642CF569378,1266 DJR,21,2012,Blanco,diesel,manual,1783,148,189360,2012-07-15
421,ZZL2AYEN7PY212308,2158 VBR,4,2023,Blanco,electric,manual,0,155,13305,2023-07-01
422,ZZHUNHJV7PU120832,9820 FGZ,52,2023,Blanco,petrol,automatic,1632,132,29044,2023-01-28
423,ZZDGBKNT5JK379920,8871 TFC,47,2018,Plata,petrol,automatic,1974,174,145357,2018-10-20
424,ZZBTD3878ML731134,3952 GBM,40,2021,Verde,petrol,automatic,1930,256,67713,2021-03-26
425,ZZFWWS1N5PJ748286,8806 ZXZ,33,2023,Negro,petrol,automatic,1601,152,28965,2023-07-03
426,ZZLL2G397FT101271,4229 VCR,60,2015,Azul,diesel,manual,1041,100,95858,2015-09-26
427,ZZAKJF1U3JN472112,3895 KKG,43,2018,Verde,petrol,manual,1065,81,92241,2018-01-21
428,ZZFW4SBH1RY441271,1983 VVV,31,2024,Rojo,diesel,manual,2974,309,18875,2024-06-03
429,ZZC7ZRLB1SY126854,7207 YMS,66,2025,Blanco,diesel,automatic,2352,255,387,2025-06-21
430,ZZDBBX4M9RX975709,9877 XRC,62,2024,Blanco,diesel,automatic,1847,109,6189,2024-09-08
431,ZZCV47SX8CU289257,7345 XGM,27,2012,Azul,hybrid,manual,1230,117,286688,2012-05-29
432,ZZN49G3F1SL726420,9290 XTS,46,2025,Gris,petrol,manual,1833,186,1265,2025-06-11
433,ZZMFEZ8KXSN451502,3560 LCR,58,2025,Blanco,petrol,manual,1186,114,2078,2025-05-14
434,ZZMUV3EA6SR027758,9509 JJK,45,2025,Blanco,petrol,manual,1846,115,1853,2025-06-01
435,ZZGZ0T7L9FR675462,2094 KKL,64,2015,Amarillo,plug_in_hybrid,automatic,1824,250,143633,2015-10-17
436,ZZB5F09T0GP705086,7202 BKF,19,2016,Blanco,diesel,manual,1568,116,97639,2016-10-29
437,ZZNJT4WM5MG736778,3683 PSL,18,2021,Azul,diesel,manual,1730,158,66962,2021-08-19
438,ZZCXSXMJXEF066765,4687 WJG,12,2014,Rojo,diesel,automatic,1261,121,127876,2014-11-13
439,ZZLTTUT63PU881198,3732 TXR,65,2023,Rojo,petrol,manual,1065,76,27522,2023-08-14
440,ZZBWJ6X77AV429052,5358 JZN,42,2010,Gris,petrol,automatic,1418,123,160714,2010-05-20
441,ZZGCJ89R5RJ933982,1999 DJP,16,2024,Gris,diesel,manual,2433,289,7357,2024-12-28
442,ZZLTVG546NP576698,8604 DCP,65,2022,Marrón,petrol,manual,1093,92,32133,2022-10-25
443,ZZJR9F66XKX455086,5492 HXC,28,2019,Blanco,petrol,automatic,1944,147,104867,2019-10-23
444,ZZJW1S1Y8PB313898,4589 RCZ,23,2023,Blanco,diesel,manual,1068,114,18672,2023-09-16
445,ZZKEW1288KK282419,2303 HWK,26,2019,Gris,hybrid,manual,2158,285,92724,2019-02-18
446,ZZHRT72F6RT691718,6806 RBT,32,2024,Negro,diesel,manual,2582,393,8071,2024-11-01
447,ZZKVSDFR3EB559031,2000 FWZ,68,2014,Verde,hybrid,manual,1111,93,67225,2014-03-05
448,ZZAYDDMN9JV826869,2303 TRL,13,2018,Azul,petrol,automatic,1764,140,14614,2018-03-10
449,ZZBKU0403DN181218,5790 FRJ,8,2013,Gris,plug_in_hybrid,automatic,2295,176,162639,2013-04-17
450,ZZHN55HM0FU271395,1520 PPS,70,2015,Azul,diesel,manual,1800,251,88832,2015-11-27
451,ZZC4WEWN1LW003983,9126 JLT,36,2020,Naranja,diesel,manual,2225,277,39184,2020-12-19
452,ZZCWNR2C7KH701556,1657 HMC,12,2019,Blanco,petrol,manual,1081,129,39045,2019-03-21
453,ZZNM3BTX1MX094382,5497 SMP,39,2021,Rojo,petrol,manual,950,87,51452,2021-03-12
454,ZZBFBR319SJ080596,0604 LCS,61,2025,Negro,petrol,manual,1702,197,3662,2025-03-23
455,ZZGVJW874PN297431,0753 VTS,35,2023,Rojo,diesel,manual,1724,151,31299,2023-08-05
456,ZZDMVEG25HH376216,0439 VSL,62,2017,Blanco,petrol,manual,2069,105,108134,2017-10-28
457,ZZGG150N1RG025794,1457 CHV,16,2024,Negro,petrol,automatic,1865,178,13347,2024-05-21
458,ZZCYSGV74NB141474,4659 LJC,57,2022,Gris,hybrid,automatic,1514,114,77768,2022-01-24
459,ZZGEK5927MU885092,3493 WKD,48,2021,Plata,petrol,manual,1964,204,52148,2021-09-02
460,ZZB060C03CZ215992,9198 FYW,42,2012,Negro,diesel,manual,1184,104,239513,2012-03-14
461,ZZG7MUS63NP470524,7112 NVC,48,2022,Negro,diesel,manual,2434,289,55258,2022-01-16
462,ZZBV6FGH2MC035593,3441 YYK,3,2021,Azul,petrol,automatic,1995,158,44387,2021-07-18
463,ZZLALFT74HU147554,1725 XZT,60,2017,Plata,petrol,manual,1434,98,97806,2017-02-25
464,ZZLEW46N8GK655642,9979 SMR,4,2016,Azul,diesel,automatic,1992,231,102284,2016-10-01
465,ZZCVBLPU2KE456735,3823 KGM,36,2019,Blanco,diesel,manual,1538,282,60422,2019-12-24
466,ZZBUVUZ36PN455838,6310 MJB,40,2023,Blanco,plug_in_hybrid,manual,1615,193,26930,2023-10-22
467,ZZNNRZJ68NU798149,4367 RKC,9,2022,Rojo,hybrid,manual,2429,153,50331,2022-09-17
468,ZZDNUNBG9NY513339,6798 XMC,10,2022,Plata,diesel,manual,1746,115,50444,2022-03-18
469,ZZKX21J06KM747610,1314 PLH,26,2019,Plata,diesel,manual,1821,283,57237,2019-10-13
470,ZZG6NUXS3FZ254905,7370 ZGG,5,2015,Gris,petrol,manual,1031,79,174533,2015-11-09
471,ZZJY5L0Z2LD777913,9295 RDC,23,2020,Gris,diesel,manual,1047,98,45314,2020-10-28
472,ZZLHEX2C9FS666766,2356 ZCC,22,2015,Blanco,diesel,manual,1824,197,131488,2015-04-13
473,ZZCR8HH53DJ057928,4781 SZV,12,2013,Plata,petrol,manual,1351,93,190869,2013-09-01
474,ZZHYYRNX9PT764302,6569 VMW,38,2023,Rojo,diesel,manual,1678,172,27359,2023-12-21
475,ZZJSREND4PX311763,4549 CDT,14,2023,Negro,petrol,manual,2957,303,46924,2023-10-10
476,ZZFDXX97XME329233,0174 BZN,33,2021,Naranja,hybrid,manual,1837,155,43186,2021-02-10
477,ZZB4EC1C4FT115569,8648 CJL,3,2015,Blanco,diesel,automatic,1826,167,110564,2015-06-20
478,ZZHCRCR29RW422627,1273 BJT,70,2024,Azul,petrol,manual,1729,230,21590,2024-09-01
479,ZZM62EYR0HM933232,6234 KHM,37,2017,Gris,petrol,manual,1403,158,96971,2017-01-08
480,ZZK06J9P3LR142598,6124 MWB,26,2020,Negro,diesel,manual,1791,237,70461,2020-10-07
481,ZZFVVKY98JT849891,1777 DHH,33,2018,Negro,diesel,manual,1720,139,86652,2018-01-31
482,ZZGNMDHN4KJ588098,4568 HRD,48,2019,Rojo,petrol,automatic,1577,294,117835,2019-12-11
483,ZZCU2ZRA8PK068435,6041 YHT,36,2023,Blanco,diesel,manual,1797,196,29847,2023-05-03
484,ZZBM5TSB2CD913757,4362 ZZS,8,2012,Blanco,plug_in_hybrid,automatic,2416,225,85579,2012-05-05
485,ZZG5FA5J3RR631688,2198 NTY,30,2024,Rojo,diesel,automatic,1175,127,7375,2024-12-07
486,ZZFG89JB7LK398242,7329 KGJ,31,2020,Negro,petrol,manual,2190,232,23180,2020-09-13
487,ZZN5W1637SF138337,6545 CPT,39,2025,Plata,diesel,manual,1156,70,492,2025-04-01
488,ZZCG37FA7RZ222131,5857 WSL,57,2024,Blanco,petrol,manual,1815,153,19515,2024-02-02
489,ZZHX84TV5RR819134,3351 KTR,25,2024,Blanco,petrol,automatic,977,85,10131,2024-05-10
490,ZZND7URM5HL843047,3327 PMR,29,2017,Plata,hybrid,manual,2207,136,142808,2017-03-30
491,ZZBGUNK93JU657859,1189 WCD,19,2018,Negro,petrol,manual,1986,129,102816,2018-09-14
492,ZZLXZUZY5RV741059,0579 PLX,60,2024,Azul,lpg,automatic,1346,125,21236,2024-07-05
493,ZZJN6UDK1FY250803,7806 VPK,15,2015,Gris,plug_in_hybrid,automatic,2322,175,39381,2015-05-10
494,ZZFA7AXS3RN115957,7112 HCZ,31,2024,Gris,lpg,manual,2221,252,38329,2024-03-11
495,ZZCUHEE02MB770122,1840 BDN,67,2021,Azul,hybrid,manual,1306,99,95013,2021-09-22
496,ZZFG8X9R4BD907566,0232 GTM,44,2011,Azul,petrol,automatic,1511,186,151638,2011-09-03
497,ZZHL7GT6XME065515,7700 ZKP,38,2021,Plata,hybrid,manual,1950,158,13057,2021-08-23
